row_number(),Sites of Use,Crop_Name
3645,TREES PRODUCED FOR REFORESTATION,
3646, BLACK JUGLANS NIGRA,
3647,WILLOW PRODUCED FOR SHORT-ROTATION-INTENSIVE-CULTURE,
3648, ENGLISH TAXUS BACCATA,
3649, JAPANESE TAXUS CUSPIDATA,
3650,ÉPINETTE BLEUE DU COLORADO PICEA PUNGENS,
3651,AIRPORTS BARE GROUND AREAS,
3652,APRICOT (PRUNUS SPP.),
3653,BARE GROUND NON-CROP AREAS IN  / AROUND ORNAMENTAL NURSERIES,
3654,BRICK YARDS BARE GROUND AREAS,
3655,HAWTHORN (CRATAEGUS SPP),
3656,INDUSTRIAL PLANT SITES BARE GROUND AREAS,
3657,LUMBER YARDS BARE GROUND AREAS,
3658,OIL YARDS/SUBSTATIONS BARE GROUND AREAS,
3659,PARKING AREAS BARE GROUND AREAS,
3660,PEACH (PRUNUS SPP.),
3661,PECAN (CARYA SPP.),
3662, JACK (PINUS BANKSIANA),
3663,PLANT SITES BARE GROUND AREAS,
3664,PLUM (PRUNUS SPP.),
3665,PUMPING STATIONS BARE GROUND AREAS,
3666,REDBUD (CERCIS CANADENSIS),
3667, BLUE (PICEA PUNGENS),
3668, DWARF ALBERTA (PICEA GLAUCA CONICA),
3669, NORWAY (PICEA ABIES),
3670, SITKA (PICEA SITCHENSIS),
3671,STORAGE AREAS BARE GROUND AREAS,
3672,SUBSTATIONS BARE GROUND AREAS,
3673,SWEETGUM (LIQUIDAMBAR STYRACIFLUA),
3674,SYCAMORE (PLATANUS SPP.),
3675,TANK FARMS BARE GROUND,
3676, BLACK (JUGLANS NIGRA),
3677, ENGLISH (TAXUS BACCATA),
3678, JAPANESE (TAXUS CUSPIDATA),
3679,FIELD,
3680,FENCELINES,
3681,HIGHWAY RIGHTS OF WAY,
3682,UTILITY HIGHWAY RIGHTS OF WAY,
3683,UTILITY SUB STATIONS,
3684,COMMERCIAL APPLICATIONS SITES,
3685,GREEN ROOF  APPLICATIONSINDUSTRIAL / COMMERCIAL,
3686,INDUSTRIAL APPLICATIONS SITES,
3687,FIR ABIES SPP.,
3688,FOREST SITE MANAGEMENT (SITE PREPARATION),
3689,JUNIPER JUNIPUS SPP.,
3690,MAPLE ACER,
3691,OTHER PUBLIC AREAS,
3692,PETROLEUM TANK FARMS AND PUMPING INSTALLATIONS,
3693,WOODLANDS SITE MANAGEMENT (SITE PREPARATION),
3694,RIGHTS-OF-WAY THAT TRAVERSE URBAN AREAS,
3695,BARE GROUND FOR INDUSTRIAL VEGETATION MANAGEMENT (IVM),
3696,NON-CROP AND BAREGROUND AREAS OF FARMS,
3697,CANOLA (INCLUDING GLYPHOSATE TOLERANT CANOLA),CANOLA
3698,SECOND GENERATION GLYPHOSATE TOLERANT CANOLA,CANOLA
3699,SOYBEANS (INCLUDING GLYPHOSATE TOLERANT SOYBEANS),
3700,ORNAMENTAL TREES,
3701,ORNAMENTAL WOODY SHRUBS,
3702,ALFALFA EST.,
3703,DRYBEANS,
3704,CROP TREES SUCH AS BLACK SPRUCE AND WHITE SPRUCE FOREST MANAGEMENT AREAS (GREATER THAN 500 HECTARES),
3705,CROP TREES SUCH AS BLACK SPRUCE,
3706, WHITE SPRUCE WOODLAND MANAGEMENT SITES (500 HECTARES OR LESS),
3707,JACK PINE CROP TREES WOODLAND MANAGEMENT SITES (500 HECTARES OR LESS),
3708,JACK PINE FOREST MANAGEMENT AREAS (GREATER THAN 500 HECTARES),
3709,WOODLAND MANAGEMENT AREAS (500 HECTARES OR LESS),
3710,CHICKPEAS (DESI),
3711,CHICKPEAS (KABULI),
3712,ORNAMENTAL TRANSPLANT WOODY NURSERY STOCK,
3713,ORNAMENTAL WOODY NURSERY STOCK,
3714,PERENNIAL ORNAMENTALS,
3715,TRIAZINE-TOLERANT RAPESEED,
3716,WHITE TURNIPS,
3717,INDUSTRIAL SITES - OUTDOOR (LUMBERYARDS),
3718,INDUSTRIAL SITES - OUTDOOR (PIPELINE),
3719,INDUSTRIAL SITES - OUTDOOR (TANK FARMS),
3720,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (BARRIER STRIPS),
3721,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (FARMYARDS),
3722,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (FENCE ROWS),
3723,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (FUEL STORAGE AREAS),
3724,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (NON-IRRIGATION DITCHBANKS),
3725,UNCULTIVATED NON-AGRICULTURAL AREAS (AIRPORTS),
3726,UNCULTIVATED NON-AGRICULTURAL AREAS (HIGHWAY),
3727,UNCULTIVATED NON-AGRICULTURAL AREAS (RAILROAD),
3728,UNCULTIVATED NON-AGRICULTURAL AREAS (SEWAGE DISPOSAL AREAS),
3729,UNCULTIVATED NON-AGRICULTURAL AREAS (UTILITY RIGHTS-OF-WAY),
3730,FIELD CORN PIONEER® BRAND 39K72,CORN
3731,FIELD CORN PIONEER® BRAND 39K73,CORN
3732,FIELD CORN PIONEER® BRAND 39M27,CORN
3733,FIELD CORN PIONEER® BRAND 39W54,CORN
3734,ROOT CHICORY,
3735,ESTABLISHED FORAGE GRASSES (HAY OR PASTURE),
3736,ESTABLISHED FORAGE GRASSES (SEED PRODUCTION),
3737,NON CROP  WOODY GROWTH (NON-GRAZING),
3738,SEEDLING FORAGE GRASSES -  FORAGE / SEED,
3739,BARE GROUND NON-CROP AREAS ON FARMS,
3740,WINTER WHEAT (MINIMUM AND NO-TILL),WHEAT
3741,HARVEST AID IN SUNFLOWER,
3742,LENTIL [LARGE GREEN VARIETIES,
3743,LENTIL [LARGE GREEN],
3744,LENTIL [SMALL RED],
3745,WHEAT HARVEST AID,WHEAT
3746,CONIFER RELEASE: DOUGLAS FIR (PSEUDOTSUGA SPP.),
3747,CONIFER RELEASE: FIR (ABIES SPP.),
3748,CONIFER RELEASE: HEMLOCK (TSUGA SPP.),
3749,CONIFER RELEASE: PINE (PINUS SPP.),
3750,CONIFER RELEASE: SPRUCE (PICEA SPP.),
3751,DECIDUOUS RELEASE: ASH (FRAXINUS SPP.),
3752,DECIDUOUS RELEASE: CHERRY (PRUNUS SPP.),
3753,DECIDUOUS RELEASE: ELM (ULMUS SPP),
3754,DECIDUOUS RELEASE: LINDEN OR BASSWOOD (TILIA SPP),
3755,DECIDUOUS RELEASE: OAK (QUERCUS SPP.),
3756,DECIDUOUS RELEASE: POPLAR (POPULUS SPP),
3757,DECIDUOUS RELEASE: WALNUT (JUGLANS SPP),
3758,FOREST AND WOODLANDS MANAGEMENT: SITE PREPARATION (GROUND/AERIAL APPLICATION FOR SITES GREATER THAN 500 HA (FORESTRY USE),
3759, AERIAL APPLICATION FOR SITES 500 HA OR LESS (WOODLANDS USE)),
3760,WOODLAND MANAGEMENT: RIGHTS-OF-WAY VEGETATION MANAGEMENT (TREATMENT OF 500 HA OR LESS),
3761,WOODLAND MANAGEMENT: SITE PREPARATION (TREATMENT OF 500 HA OR LESS),
3762,DRAIN LINES,
3763,OTHER CONDUITS,
3764,SEWER MAINS,
3765,CONDUITS,
3766,CREEPING BENTGRASS (AGROSTIS STOLONIFERA),
3767,PERENNIAL RYEGRASS (LOLIUM PERENNE),
3768,FORAGE ALFALFA,
3769,COLORADO BLUE SPRUCE,
3770,REFORESTATION AREAS,
3771,CHRISTMAS TREE PLANTATIONS (BALSAM FIR),
3772,CHRISTMAS TREE PLANTATIONS (BLACK SPRUCE),
3773,CHRISTMAS TREE PLANTATIONS (COLORADO BLUE SPRUCE),
3774,CHRISTMAS TREE PLANTATIONS (RED PINE),
3775,CHRISTMAS TREE PLANTATIONS (SCOTCH PINE),
3776,CHRISTMAS TREE PLANTATIONS (WHITE SPRUCE),
3777,CHRISTMAS TREE PLANTATIONS SITES TO BE ESTABLISHED (PRIOR TO PLANTING CONIFERS),
3778,WOODLAND MANAGEMENT AREAS OF LESS THAN 500 HA,
3779,ALYSSUM (ALYSSUM SPP.),
3780,ANGEL'S HAIR (ARTEMISIA SPP.),
3781,ANTHEMIS CHAMOMILE (ANTHEMIS SPP.),
3782,APPLE (MALUS SPP.),
3783,ARBORVITAE (CEDARS) (THUJA SPP.),
3784,AZALEA (RHODODENDRON SPP.),
3785,BABY'S BREATH (GYPOSPHILA SPP.),
3786,BARBERRY (BERBERIS SPP.),
3787,BARRENWORT (BISHOP'S HAT) (EPIMEDIUM SPP.),
3788,BELLFLOWER (CAMPANULA SPP.),
3789,BERGENIA (BERGENIA SPP.),
3790,BLUE HAVEN JUNIPER (JUNIPERUS SPP.),
3791,BOXWOOD (BUXUS SPP.),
3792,BUGLEFLOWER (AJUGA SPP.),
3793,CATMINT (CATNIP) (NEPETA CATARIA),
3794,CENTAUREA (CENTAUREA SPP.),
3795,CERASTIUM (CERASTIUM SPP.),
3796,CHRYSANTHEMUM (CHRYSANTHEMUM SPP.),
3797,CLARKIA LATHRYUS (CLARKIA SPP.),
3798,COMMON PERIWINKLE (VINCA MINOR),
3799,COMPACT PFITZER JUNIPER,
3800,COREOPSIS (CALLIOPSIS) (COREOPSIS TINCTORIA),
3801,COTONEASTER (COTONEASTER SPP.),
3802,CRAB APPLE (MALUS SPP.),
3803,CROP SUBGROUP 3-07A: BULB ONION SUBGROUP. REPRESENTATIVE COMMODITY: ONION,
3804, BULB.,
3805,CROWN VETCH (CORONILLA VARIA),
3806,CURRANT (RIBES SPP.),
3807,DELPHINIUM (DELPHINIUM SPP.),
3808,DIANTHUS (DIANTHUS SPP.),
3809,DORONICUM (LEOPARD'S BANE) (DORONICUM SPP.),
3810,DOUGLAS FIR* (PSEUDOTSUGA MENZEISII),
3811,DRABA (DRABA SPP.),
3812,ELDER (SAMBUCUS SPP.),
3813,ENGLISH IVY (HEDERA HELIX),
3814,ESCALLONIA (ESCALLONIA SPP.),
3815,EUONYMUS (EUONYMUS SPP.),
3816,EVENING-PRIMROSE (OENOTHERA SPP.),
3817,FIR* (ABIES SPP.),
3818,FIRETHORN (PYRACANTHA SPP.),
3819,FLEABANE (ERIGERON SPP.),
3820,FLEECEFLOWER (POLYGONUM SPP.),
3821,FORGET-ME-NOT (MYOSOTIS SPP.),
3822,FORSYTHIA (FORSYTHIA SPP.),
3823,GAILLARDIA (BLANKETFLOWER) (GAILLARDIA SPP.),
3824,GAZANIA (GAZANIA SPP.),
3825,GEUM (AVENS) (GEUM SPP.),
3826,HEMLOCK* (TSUGA SPP.),
3827,HOLLY* (ILEX SPP.),
3828,HONEY LOCUST (GLEDITSIA TRIACANTHOS),
3829,HONEYSUCKLE (LONICERA SPP.),
3830,HORNBEAM (BLUE BEECH) (CARPINUS SPP.),
3831,HYDRANGEA (HYDRANGEA SPP.),
3832,IMPATIENS (IMPATIENS SPP.),
3833,IRIS (IRIS SPP.),
3834,JASMINE (JASMINUM NUDIFLOR,
3835,PERENNIAL RYEGRASS GROWN FOR SEED,
3836,SALSIFY,
3837,SPANISH SALSIFY,
3838,ST,
3839,NEW / ESTABLISHED SHORT ROTATION INTENSIVE CULTURE OF POPLAR (POPULUS) SPECIES,
3840,ESTABLISHED CLOVER (SWEET) FOR SEED PRODUCTION ONLY,
3841,SEEDLING CLOVER (SWEET) FOR SEED PRODUCTION ONLY,
3842,IMAZAMOX TOLERANT CANOLA VARIETIES WITH THE CLEARFIELD* TRAIT,CANOLA
3843,IMAZETHAPYR TOLERANT CANOLA VARIETIES WITH THE CLEARFIELD* TRAIT,CANOLA
3844,SULFONYLUREA TOLERANT CANOLA WITH THE CIBUS SU CANOLA TRAIT,CANOLA
3845,FIELD GROWN CONIFERS (INCLUDING CHRISTMAS TREES),
3846,GLYPHOSATE TOLERANT CORN VARIETIES,CORN
3847,OPTIMUM GLY CANOLA,CANOLA
3848,W,
3849,"ALL 	CROPS",
3850,CANOLA (RAPESEED) (INCLUDING GLYPHOSATE TOLERANT® VARIETIES),CANOLA
3851,HYBRID CANOLA SEED PRODUCTION SYSTEMS,CANOLA
3852, RIGHTS-OF-WAY,
3853,LOWBUSH BLUEBERRY FIELDS,
3854,MILITARY IMPACT ZONES,
3855, ARTILLERY/SMALL ARMS RANGES,
3856, TROOP TRAINING AREAS,
3857, AMMUNITION STORAGE BUNKERS,
3858,MUSTARD (YELLOW/WHITE,
3859, ORIENTAL),
3860,PUBLIC USE AREAS,
3861, PIPELINE HIGHWAY,
3862, POWER,
3863, TELEPHONE RIGHTS-OF-WAY,
3864,RIGHTS-OF-WAY AREAS,
3865,SIMILAR INDUSTRIAL OR NON-CROP AREAS,
3866,SOYBEANS (INCLUDING GLYPHOSATE TOLERANT® VARIETIES),
3867,ESTABLISHED GRASSES (FORAGE PRODUCTION (HAY OR PASTURE CROPS)),
3868,SEEDLING CLOVER,
3869,LAWNS (ATHLETIC FIELDS),
3870,LAWNS (CEMETERIES),
3871,LAWNS (GOLF COURSES),
3872,LAWNS (NON-CROP AREAS),
3873,LAWNS (ON RIGHT-OF-WAYS),
3874,LAWNS (PARKS),
3875,LAWNS (SOD PRODUCTION),
3876,TURF (ATHLETIC FIELDS),
3877,TURF (CEMETERIES),
3878,TURF (NON-CROP AREAS),
3879,TURF (ON RIGHT-OF-WAYS),
3880,TURF (SOD PRODUCTION),
3881,FIELD CORN (GRAIN OR SILAGE),CORN
3882,MEADOW BROMEGRASS ESTABLISHED  (FORAGE OR SEED PRODUCTION),
3883,MEADOW BROMEGRASS SEEDLING  (FORAGE OR SEED PRODUCTION),
3884,ALYSSUM (LOBULARIA MARITIMA) (CONTAINER GROWN),
3885,ALYSSUM (LOBULARIA MARITIMA) (FIELD GROWN),
3886,ANNUAL RYEGRASS,
3887,ARBORVITAE (THUJA X.)  (CONTAINER GROWN),
3888,ARBORVITAE (THUJA X.) (FIELD GROWN),
3889,BERMUDAGRASS,
3890,BLAZING-STAR (LIATRIS SPICATA) (CONTAINER GROWN),
3891,BLAZING-STAR (LIATRIS SPICATA) (FIELD GROWN),
3892,BOXWOOD (BUXUS SEMPERVIRENS) (CONTAINER GROWN),
3893,BOXWOOD (BUXUS SEMPERVIRENS) (FIELD GROWN),
3894,CAROLINA GERANIUM (GERANIUM CAROLINIANUM) (CONTAINER GROWN),
3895,CAROLINA GERANIUM (GERANIUM CAROLINIANUM) (FIELD GROWN),
3896,CORAL BELLS (HEUCHERA SP.) (CONTAINER GROWN),
3897,CORAL BELLS (HEUCHERA SP.) (FIELD GROWN),
3898,COTONEASTER SAL. REP.  (CONTAINER GROWN),
3899,COTONEASTER SAL. REP. (FIELD GROWN),
3900,CRIMSON SAGE (SALVIA COCCINEA) (CONTAINER GROWN),
3901,CRIMSON SAGE (SALVIA COCCINEA) (FIELD GROWN),
3902,FINE FESCUE,
3903,FORSYTHIA X. INTERMEDIA (CONTAINER GROWN),
3904,FORSYTHIA X. INTERMEDIA (FIELD GROWN),
3905,HOLLY (ILEX X. MESERVEAE) (CONTAINER GROWN),
3906,HOLLY (ILEX X. MESERVEAE) (FIELD GROWN),
3907,HYDRANGEA (HYDRANGEA ARBORESCENCE) (CONTAINER GROWN),
3908,HYDRANGEA (HYDRANGEA ARBORESCENCE) (FIELD GROWN),
3909,LANDSCAPE ORNAMENTALS (CONTAINER GROWN),
3910,LANDSCAPE ORNAMENTALS (FIELD GROWN),
3911,MARIGOLD (TAGETES PATULA) (CONTAINER GROWN),
3912,MARIGOLD (TAGETES PATULA) (FIELD GROWN),
3913,MIXTURES OF GRASSES,
3914,NURSERY ORNAMENTALS (CONTAINER GROWN),
3915,NURSERY ORNAMENTALS (FIELD GROWN),
3916,PANSY (VIOLA TRICOLOUR) (CONTAINER GROWN),
3917,PANSY (VIOLA TRICOLOUR) (FIELD GROWN),
3918,PERIWINKLE (CATHARANTHUS ROSEUS) (CONTAINER GROWN),
3919,PERIWINKLE (CATHARANTHUS ROSEUS) (FIELD GROWN),
3920,PETUNIA (PETUNIA X HYBRIDA) (CONTAINER GROWN),
3921,PETUNIA (PETUNIA X HYBRIDA) (FIELD GROWN),
3922,PINE (PINUS SP.) (CONTAINER GROWN),
3923,PINE (PINUS SP.) (FIELD GROWN),
3924,POPLAR (POPULUS SPP.) (CONTAINER GROWN),
3925,POPLAR (POPULUS SPP.) (FIELD GROWN),
3926,POT MARIGOLD (CALENDULA OFFICINALIS) (CONTAINER GROWN),
3927,POT MARIGOLD (CALENDULA OFFICINALIS) (FIELD GROWN),
3928,RHODODENDRON X. PJM (CONTAINER GROWN),
3929,RHODODENDRON X. PJM (FIELD GROWN),
3930,SALVIA (SALVIA SPLENDENS) (CONTAINER GROWN),
3931,SALVIA (SALVIA SPLENDENS) (FIELD GROWN),
3932,REDUCED TILLAGE (PRIOR TO SEEDING),
3933,DRY FIELD PEAS,PEAS
3934,FIELD CORN COARSE  SOIL,CORN
3935,FIELD CORN MEDIUM TO FINE TEXTURE SOIL,CORN
3936,POST- HARVEST TREATMENT,
3937,SOYBEANS ON COARSE SOILS,
3938,SOYBEANS ON MEDIUM TO FINE SOILS,
